Precio_Brent_USD,Pct_var_brent,Valor_COLCAP,Pct_var_COLCAP,Indice_de_precios_al_Consumidor,Indicador de Seguimiento a la Economía (ISE),Indice_de_tasa_de_cambio_real,Tasa_de_desempleo_Total_Nacional,Tasa_de_cambio_promedio_mensual
0.8886663098195783,0.8520915281582263,-2.0329787110960997,-0.5309203232133588,-1.3247688925968832,-1.6417350253510956,-0.969893814126601,0.5046770558324808,-1.0640442307670086
0.8969064266889979,-0.020360487752874218,-2.138695792656661,-0.6095348043831448,-1.2998361989328018,-1.7301710280979086,-1.0361127038973847,0.1298012784106491,-1.1260085846792598
1.352584889567896,1.1098614419501422,-1.7398015586808824,2.0115870433997203,-1.2781355211140646,-1.65534056423522,-1.1449339563179026,0.015133393552206515,-1.1818171752083535
2.029098484547237,1.4970381140829394,-1.600207145363405,0.5850218241236037,-1.2490473785059704,-1.7097627197717211,-1.2180988834772297,-0.10394479457002223,-1.2017354667267144
2.525565525929762,0.9428849795748121,-1.9074964140525144,-1.4723766708807962,-1.221806102095215,-1.6825516420034705,-1.3880452649169324,0.16067340125715301,-1.2739887394365297
1.8725362640282663,-1.2246782226349435,-1.9093120079590968,-0.08224255263458007,-1.2065694559671654,-1.607721178140783,-1.1796641432606212,0.5134976623600539,-1.1961513099434211
1.4634144614615883,-0.8771584603162874,-1.7138055550184494,0.887975190582779,-1.2005671408258127,-1.6281294864669704,-1.0921440721649704,0.16949400778472534,-1.128877610113196
0.8091491820296804,-1.4939277682151635,-1.791050823043965,-0.43504900471361974,-1.2065694559671654,-1.5941156392566576,-0.6300010512471961,0.0019024837608480267,-0.885120372574758
-0.544290013772472,-3.5331278149738843,-2.5536002638086677,-3.7119306710347,-1.1954882587831297,-1.6213267170249073,-0.3595686622532274,-0.38179390018855675,-0.6398461790597557
-1.0316929265986348,-1.9311973790605594,-2.494263353861717,0.27631617855444396,-1.1867156443457678,-1.7369737975399708,-0.3970772641513636,-0.05984176193215982,-0.5958874330432412
-1.3571775429407047,-1.5826340138520576,-2.2952082401036584,1.079717827582257,-1.1724024313163879,-1.6825516420034705,-0.5684128530687752,-0.12158600762516766,-0.6799136032233459
-1.3452293734800465,0.025558039400341598,-2.219077086520819,0.3434261015042613,-1.15347205279366,-1.7301710280979086,-0.574895821298082,1.5102261999757478,-0.6796277999234134
-1.3258650988369107,0.06521494921448252,-2.2918658967756316,-0.4618929738935466,-1.1262307763829045,-1.6349322559090325,-0.05116460220188686,0.7604746451320837,-0.39298907496051344
-1.2072074159172703,0.6068448490444599,-2.2008798839571155,0.423958009044042,-1.110070697156185,-1.65534056423522,-0.14748298732302623,0.5046770558324808,-0.4331444386010053
-1.1425224984923272,0.2916767763110242,-1.9627069742117769,1.1928459834119491,-1.099451216521484,-1.614523947582845,-0.2678809687244503,0.47380493298597687,-0.5407054112870759
-0.5360498969030524,2.9831286292233785,-1.5517225353580735,1.9770733687398143,-1.098989499972149,-1.614523947582845,-0.5068246548903538,0.31503401548967186,-0.7049433768366503
-0.3803116880710239,0.560926321891244,-1.2579264304747029,1.2503687745117926,-1.1008363661694887,-1.6281294864669704,-0.7721632831327236,0.24446916326909168,-0.8587385295040814
-0.2814302856379897,0.31985405433686115,-1.0372079803312833,0.8572963686628624,-1.1022215158174933,-1.4988768670677814,-0.8430128644958695,0.7913467679785876,-0.8998062652174347
-0.36589148354953943,-0.3397029720456933,-0.8190478670562306,0.8036084303030088,-1.1008363661694887,-1.6213267170249073,-0.8726492906869894,0.39441947423782436,-0.9368617622971221
-0.38978782247085647,-0.12785158540699304,-0.3245461084997258,1.8275141118802216,-1.1040683820148323,-1.5464962531622195,-0.9300698664322838,0.6149346374271372,-0.978852862517949
-0.13722824042314855,0.8854868206332924,-0.6206529692642012,-1.1080656605817878,-1.108223830958846,-1.5328907142780943,-1.0588030926999605,0.31503401548967186,-1.0622964336635763
-0.002502329608139957,0.41273471153313857,-0.3694407941897694,0.8553789422928677,-1.11053241370552,-1.5328907142780943,-0.8453282102920506,0.1518527947295807,-0.9867674154391519
-0.024750645155572265,-0.11324114494915165,-0.1680749245506057,0.6367923361134628,-1.107762114409511,-1.4512574809733434,-0.7337285429161152,0.11657036861929061,-0.9389723097427763
-0.2913184258812935,-0.9074229441218161,-0.18119671687545216,-0.11675622729448613,-1.085138003492104,-1.526087944836032,-0.9212715524067953,1.6910486337909845,-0.9816889106480466
-0.03875884383358555,0.854178733937918,-0.06834105018219161,0.31274727958434473,-1.0578967270813489,-1.4512574809733434,-1.0472263637190544,0.7251922190217936,-1.0094997702183848
0.17177614218008253,0.6465017588586008,0.13616084529561479,0.6099483669335358,-1.049585829193322,-1.4240464032050937,-1.123169705833799,0.40324008076539747,-1.0576356413877568
0.3670669119853244,0.5567519103318609,0.24625185763112514,0.2820684576644283,-1.034349183065272,-1.396835325436843,-1.0305558739865497,0.6149346374271372,-1.0232732907882005
-0.15988856181405203,-1.5680235733942163,0.15250119045485858,-0.36985650813379717,-1.0306554506705934,-1.4104408643209685,-1.0166637992094623,0.5355491786789847,-0.9749065784919604
-0.14505635144909695,0.008860393162808572,0.24427120973303493,0.2226282401945901,-1.0269617182759148,-1.390032555994781,-1.187999388126874,0.4120606872929698,-1.039168351238283
-0.014450499068797897,0.40021147685498887,0.676877721474222,1.2983044337616623,-1.0283468679239194,-1.3832297865527179,-1.2463461021906406,0.8001673745061599,-1.0956474802787564
-0.1603005676575232,-0.5139846546499443,1.058812657822604,1.0567087111423197,-1.0246531355292408,-1.3832297865527179,-1.358871907885049,0.14744249146579452,-1.1566115226412448
0.15570791428471448,1.0315912252117063,1.4933998174618812,1.14107547142209,-1.0292703010225888,-1.3083993226900301,-1.362576461158939,-0.07748297498730525,-1.1714073396300493
0.1903164051362765,0.06521494921448252,2.0394396848666054,1.36157950397149,-1.032040600318598,-1.2675827060376552,-1.2440307563944595,-0.262715712066328,-1.1682635033307935
0.3044420237777364,0.30628721676886556,1.536478909245342,-1.3017257239512607,-1.0255765686279101,-1.260779936595592,-1.1120560460121294,-0.051021155404587494,-1.1075742718336246
0.668243183562607,1.0315912252117063,1.7170479759545594,0.3990314662341099,-1.003875890809173,-1.1587383949646537,-0.9916580646107046,0.08128794250900052,-1.0392123209767343
0.9261588415754374,0.6485889646382925,1.464226524462929,-0.7169106811028525,-0.972940882003739,-1.1451328560805285,-1.1852209731714562,1.258838913939931,-1.1043095187536285
1.3707131466806188,1.0733353408055388,1.4169385558960268,-0.19728813483426694,-0.9521636372836719,-1.1383300866384662,-1.101868524508932,0.9236558658921756,-1.086754600677016
1.5997883956504808,0.47743809070357895,1.28274966080042,-0.42929672560363547,-0.9429293062969751,-1.0907107005440282,-1.0564877469037794,-0.042200548877015166,-1.0848089397505534
1.9512293801312224,0.7174667553681162,1.2094244250732082,-0.2701503368940686,-0.9387738573529615,-1.0839079311019661,-1.164382861005825,0.09892915556414518,-1.1635257640126846
1.5738320275118096,-0.8009754493575432,1.455850034393923,0.6003612350835619,-0.9290778098169302,-1.0634996227757787,-1.1838317656937476,0.22241764695016086,-1.1757493513020978
1.3987295440366454,-0.4211039974536668,1.2083928376262862,-0.7264978129528264,-0.9179966126328938,-1.0430913144495901,-1.2315278890950812,-0.00250781950293892,-1.196755893847124
1.5742440333552803,0.354292949701773,1.0390474423395797,-0.5347551759533483,-0.9129177305902106,-1.0090774672392775,-1.2676472835155084,0.2885721959069541,-1.2196091654070975
1.496374928939266,-0.21029621370481236,0.9694771849191631,-0.2682329105240738,-0.9143028802382152,-0.900233156166277,-1.212542053566395,-0.2759466218576865,-1.1940077851939286
0.998259864182858,-1.1401463885574326,0.731056694186563,-0.7475895030227689,-0.9036833996035138,-0.9274442339345276,-1.1963346329931261,-0.4920514817832132,-1.1378254518880004
1.2784238377431207,0.6496325675281384,0.8857122842291013,0.3817746289041569,-0.8967576513634917,-0.9070359256083391,-1.0583400235407248,-0.74343876781903,-1.0562286097573204
1.317976398716334,0.05060450875664113,0.633344731214116,-0.7955251622726386,-0.8921404858701429,-0.8798248478400895,-1.050004778674472,-0.6861048253898082,-1.0476215334555123
1.188606563866448,-0.33761576626600165,0.6765888769890841,0.05581214600504416,-0.8773655562914285,-0.8798248478400895,-1.0541724011075984,-0.4303072360902053,-1.0301765397250275
1.3369286675159993,0.3083744225485572,0.9327114083108646,0.6847279953633323,-0.8515094295286777,-0.8322054617456515,-1.2444938255536961,0.7692952516596561,-1.1202705338113879
1.8181514926900975,1.0566376945680058,1.3323071217505504,1.0643784166222987,-0.8298087517099405,-0.8185999228615262,-1.3449798331079619,0.4561637199308322,-1.1956346655166203
1.8272156212464588,-0.022447693532565847,1.3866511484543989,0.07306898333499717,-0.8256533027659269,-0.7709805367670881,-1.3931390256685312,-0.24066419574739642,-1.2145636379198308
1.6867216286228566,-0.3313541489269268,1.5600816300309162,0.38944433438413606,-0.8205744207232437,-0.8185999228615262,-1.3852668499615148,0.01954369681599268,-1.204978234937485
0.9434630870012184,-1.6170729092169696,1.3161730940806908,-0.7073235492528785,-0.8094932235392079,-0.7641777673250258,-1.4149032761526348,-0.02014903255808357,-1.1849500190729965
0.7972010125690219,-0.40649355699582534,0.95907878345419,-1.0332860321519912,-0.8067229242431988,-0.7641777673250258,-1.4681562294648034,-0.355332080605839,-1.185664527322827
1.0427564952777233,0.5943216143663101,1.098796987265298,0.3223344114343187,-0.8076463573418683,-0.7981916145353387,-1.470934644420221,0.0504158196624966,-1.1946783237053082
1.4634144614615883,0.9846290951686447,1.076638488905415,-0.13401306462443915,-0.8062612076938638,-0.8798248478400895,-1.3866560574392237,-0.4655896622004954,-1.1705938994687033
1.3616490181242575,-0.2676943726463321,1.128547969234527,0.0711515569650024,-0.795641727059163,-0.7573749978829637,-1.3556304237703958,-0.3994351132437014,-1.1740675088063421
1.1960226690489257,-0.4169295858942835,1.6602281393780987,1.396093178631396,-0.7901011284671448,-0.7573749978829637,-1.3389599340378902,-0.8272345298309686,-1.1720998630106543
1.3068522409426178,0.21966817691166302,1.4522601100786339,-0.6056999516431552,-0.7947182939604929,-0.7097556117885256,-1.3204371676684405,-0.6993357351811668,-1.1552594531838725
1.2920200305776628,-0.07567144091470235,1.7543914415331336,0.7249939491332227,-0.7914862781151494,-0.7165583812305878,-1.3523889396557416,-0.487641178519427,-1.1842245183885527
1.4836027477916662,0.40021147685498887,1.892459105429167,0.27823360492443877,-0.780866797480448,-0.5737002229472746,-1.378783881732208,0.5708316047892747,-1.2105294144169398
1.3138563402816246,-0.4169295858942835,1.8028347880405884,-0.2950768797040007,-0.764706718253729,-0.6145168395996495,-1.336644588241709,0.4252915970843283,-1.186928657303297
1.2973761065427853,-0.0788022495842398,1.5155170523238874,-0.7974425886426333,-0.7573192534643711,-0.6417279173679001,-1.334329242445528,-0.29358783491283114,-1.1666915851811654
0.98219163628749,-0.7665365539926312,1.1442280984277413,-1.04479059037196,-0.748084922477675,-0.4988697590845859,-1.2732041134263437,-0.262715712066328,-1.1446297689133125
0.9006144792802367,-0.2426479032900326,1.0673542018831175,-0.2854897478540268,-0.7379271583923087,-0.45125037299014886,-1.2343063040504987,-0.5405648176848618,-1.1224690207339443
0.9735395135745991,0.14244156306307276,0.859344909085776,-0.6536356108930247,-0.7296162605042813,-0.4988697590845859,-1.126411189948453,-0.6772842188622359,-1.0571959440032455
1.2017907508575194,0.5244002207466406,1.126979956315206,0.6962325535833009,-0.7277693943069418,-0.39002544801158545,-1.169013552598188,-0.3906145067161291,-1.0669902032432341
1.4617664380877047,0.5703187478998565,1.328840987928892,0.48531565288387507,-0.7245373784615982,-0.4988697590845859,-1.1629936535281162,-0.6111296699054419,-1.0636155258171098
1.2293951423700749,-0.5578159760234684,1.4222615471221438,0.17852743368471014,-0.7139178978268969,-0.40363098689571075,-1.120854360037618,-0.8272345298309686,-1.0463134337365911
1.2487594170132106,0.0036423787135795027,1.383803967100894,-0.17427901839432955,-0.7236139453629287,-0.369617139685398,-1.1537322703433912,-1.2859060692647388,-1.0831270972547977
1.2837799137082433,0.040168479858183,0.9185580285390962,-1.3132302821712292,-0.731463126701621,-0.33560329247508525,-1.068990614203158,-1.065390906075426,-1.043301506652689
1.3295125623335213,0.06417134632463671,0.8201033226048652,-0.35259967080384413,-0.721767079165589,-0.2879839063806472,-1.0361127038973847,-1.0565702995478539,-1.0301765397250275
1.1482299912062928,-0.4555428928185786,0.21645961216401924,-1.8194308438498514,-0.7037601337415305,-0.2743783674965219,-0.9898057879737601,0.21359704042258776,-1.0012334593895726
1.2582355514130426,0.2207117798015088,0.466929044276668,0.7249939491332227,-0.6806743062747888,-0.17913959530764673,-0.7999474326868988,0.01954369681599268,-0.91318405814119
1.2042627859183455,-0.16646489233128817,1.158340214701633,2.0403484389496422,-0.6658993766960744,-0.25397005917033444,-0.8231008906487113,-0.5317442111572894,-0.9333221983518063
1.217034967065945,-0.010968061744261895,1.0930200975625357,-0.25289349956411555,-0.6488158643706853,-0.2267589814020838,-1.0032347935916108,-0.7654902841379607,-1.0244714661609937
1.2421673235176751,0.01720921628157509,1.0376444834117653,-0.22604953038418862,-0.6308089189466267,-0.2403645202862091,-1.0592661618591972,-0.871337562468831,-1.0506444529740273
1.381837304454335,0.28437155608210346,1.2313353424458302,0.46997624192391685,-0.6271151865519481,-0.26757559805445974,-1.1315049507000519,-0.7257975547638845,-1.0807197540745987
1.1535860671714153,-0.5567723731336227,1.184294954866189,-0.2011229875742565,-0.6215745879599299,-0.18594236474970888,-1.2143943302033398,-0.5978987601140834,-1.1133672848745606
1.0398724543734261,-0.3115256940198563,1.500332085105197,0.7940212984530347,-0.6137254066212376,-0.21995621196002166,-1.1518799937064466,-0.8316448330947548,-1.068661053304377
0.6917275166404523,-0.890725297884283,1.0650847094998894,-1.2154415373014955,-0.6086465245785545,-0.10430913144495806,-1.0254621132349508,-1.0742115126029992,-0.9892187283578023
0.32174626920351734,-1.0243064677845473,0.9379106090433521,-0.4273792992336406,-0.6026442094372018,-0.07029528423464529,-0.896728886967274,-1.2991369790560983,-0.9060169907736563
-0.32757494010673904,-1.945807819518401,0.48731321222784585,-1.3534962359411196,-0.5975653273945186,-0.14512574809733395,-0.7564189317186911,-1.316778192111243,-0.8178356803099199
-0.8372261684803347,-1.8706684114495025,0.4349085699242108,-0.23180180949417298,-0.5874075633091523,-0.05668974535051999,-0.33271065101752517,-0.8845684722601903,-0.5793218340817787
