Precio_Brent_USD,Valor_COLCAP,Indice_de_precios_al_Consumidor,Indicador de Seguimiento a la Economía,Indice_de_tasa_de_cambio_real,Tasa_de_desempleo_Total_Nacional,PIB
0.6498942544941838,0.11335010331506601,0.0,0.027777777777777457,0.1305186972255732,0.32130464954892435,0.006473061503862398
0.6516566795911173,0.09033330338693735,0.006772009029345383,0.001984126984126755,0.11326899879372743,0.26231783483691884,0.007245526547374537
0.7491187874515332,0.17718084628514963,0.012666165036368193,0.023809523809523725,0.0849215922798554,0.24427480916030542,0.008076659822039645
0.8938138879097638,0.20757344353607032,0.02056684223727112,0.007936507936507686,0.0658624849215923,0.2255378209576684,0.0138945927446954
0.9999999999999999,0.14067020034138877,0.027965889139704103,0.015873015873015817,0.021592279855247476,0.2671755725190841,0.01989830839933515
0.8603278110680296,0.14027490791483244,0.03210433910208177,0.03769841269841234,0.07587454764776846,0.32269257460097167,0.025716241321990685
0.7728234050052872,0.18284071511993527,0.03373463757210926,0.03174603174603163,0.09867310012062736,0.2685634975711312,0.017052899188422677
0.6328868523087768,0.16602281915371475,0.03210433910208177,0.04166666666666652,0.21905910735826306,0.2421929215822347,0.008389557054854668
0.3434085301374691,0.0,0.03511412089290189,0.03373015873015861,0.28950542822677927,0.18181818181818188,0.0
0.2391610856538597,0.012918875213367986,0.03749686481063452,0.0,0.2797346200241255,0.23247744621790434,0.000948469736970825
0.16954529432499119,0.05625729943401303,0.041384499623777216,0.015873015873015817,0.23510253317249696,0.22276197085357397,0.0018578273198395223
0.1721008107155446,0.07283262959302839,0.046526210183094996,0.001984126984126755,0.23341375150784094,0.47952810548230407,0.0028062970568103474
0.17624250969333802,0.0569849968556283,0.05392525708552787,0.029761904761904656,0.36984318455971055,0.36155447605829283,0.009142466021316187
0.20162143108917865,0.07679453777737844,0.05831452219714073,0.023809523809523725,0.3447527141133897,0.32130464954892435,0.014862618558717067
0.21545646810010569,0.12864971700655814,0.06119889641334331,0.03571428571428559,0.3133896260554887,0.3164469118667592,0.021198787523222906
0.34517095523440244,0.21812954810888507,0.06132430398796085,0.03571428571428559,0.2511459589867311,0.29146426092990985,0.025980248362178493
0.3784807895664434,0.2820950498607492,0.06082267368949079,0.03174603174603163,0.1820265379975876,0.28036086051353226,0.030908379779016393
0.39962989072964394,0.3301500314437157,0.060446450965638165,0.06944444444444442,0.16357056694813044,0.36641221374045807,0.03568984061797198
0.38156503348607684,0.3776480100619889,0.06082267368949079,0.03373015873015861,0.15585042219541623,0.30395558639833453,0.03958149995110971
0.3764540007049699,0.48531129278591323,0.05994482066716833,0.05555555555555536,0.14089264173703264,0.3386537126995143,0.04347315928424744
0.43047232992597806,0.4208426915820681,0.058816152495610674,0.059523809523809534,0.10735826296743078,0.29146426092990985,0.04723770411655415
0.45928798026083884,0.4755367891474259,0.058189114622523186,0.059523809523809534,0.1629674306393245,0.26578764746703687,0.05162804341449112
0.4545294324991188,0.5193783128200521,0.058941560070228216,0.08333333333333326,0.19203860072376355,0.26023594725884813,0.05588149017307131
0.3975149806133238,0.5165214266463031,0.065086531226486,0.06150793650793629,0.1431845597104946,0.5079805690492715,0.060271829471008065
0.45153330983433204,0.5410924445243014,0.07248557812891898,0.08333333333333326,0.11037394451145977,0.3560027758501041,0.06946318568495147
0.49656327106097986,0.5856167460246159,0.07474291447203396,0.09126984126984117,0.09059107358262986,0.30534351145038174,0.07776474039307701
0.5383327458583009,0.6095858413439942,0.07888136443441185,0.09920634920634908,0.11471652593486148,0.3386537126995143,0.08695609660702064
0.42562566090941134,0.5891743778636241,0.07988462503135196,0.09523809523809512,0.11833534378769617,0.3261623872310896,0.090632639092598
0.4287980260838914,0.6091546132422961,0.08088788562829197,0.10119047619047605,0.07370325693606761,0.30673143650242896,0.09443629607900661
0.45673246387028554,0.703342017788159,0.08051166290443945,0.10317460317460325,0.05850422195416183,0.36780013879250517,0.09811283856458397
0.42553753965456464,0.7864971700655826,0.08151492350137945,0.10317460317460325,0.029191797346200365,0.26509368494101326,0.10913268798279052
0.4931265421219597,0.8811158027131435,0.08026084775520448,0.12499999999999978,0.028226779252111145,0.2297015961138098,0.1201525374009973
0.50052872752908,0.9999999999999999,0.07950840230749934,0.13690476190476164,0.059107358262967535,0.2005551700208189,0.13082037743228714
0.5249383151216073,0.8904950139250741,0.08126410835214448,0.13888888888888884,0.09348612786489752,0.23386537126995144,0.14181089273491732
0.602749383151216,0.9298086425298716,0.08715826435916729,0.1686507936507935,0.12484921592279874,0.2546842470506594,0.15244939865063056
0.6579132886852308,0.8747641721318841,0.09556057185854028,0.17261904761904767,0.07442702050663463,0.4399722414989591,0.16343991395326096
0.7529961226647867,0.864468601203845,0.10120391271632789,0.17460317460317443,0.09613992762364298,0.3872310895211659,0.17259215801310246
0.8019915403595347,0.8352528973138084,0.10371206420867807,0.1884920634920635,0.10796139927623649,0.23525329632199865,0.18086437860565163
0.8771589707437434,0.8192884736321985,0.10484073238023572,0.19047619047619024,0.07985524728588667,0.2574600971547537,0.19001662266549335
0.7964399013041944,0.8729404366184531,0.10747429144720333,0.19642857142857117,0.07478890229191815,0.27689104788341445,0.20112447443042925
0.7589883679943602,0.819063875662564,0.11048407323802356,0.20238095238095233,0.06236429433051871,0.241498959056211,0.2125941136208076
0.7965280225590411,0.7821938729673884,0.11186355655881608,0.2123015873015872,0.05295536791314848,0.2873004857737682,0.2237019653857435
0.7798731053930207,0.7670469858952474,0.11148733383496356,0.24404761904761885,0.06731001206272613,0.1984732824427481,0.22714383494670964
0.6733345082833979,0.7151379031533555,0.11437170805116625,0.23611111111111094,0.07153196622436675,0.16446911866759195,0.2305857045076758
0.7332569615791328,0.7488096307609379,0.11625282167042883,0.2420634920634921,0.10747889022919188,0.12491325468424708,0.23391023760633622
0.7417166020444129,0.6938639834695893,0.11750689741660403,0.24999999999999978,0.10965018094089274,0.13393476752255384,0.24330693262931447
0.7140465280225589,0.7032791303566616,0.12151993980436415,0.24999999999999978,0.1085645355850422,0.17418459403192232,0.2523907304194779
0.7457701797673598,0.759042314257479,0.1285427639829445,0.26388888888888884,0.058986731001206216,0.36294240111034004,0.26178742544245615
0.8486958054282691,0.8460425837750426,0.13443691998996732,0.2678571428571428,0.032810615199035054,0.3136710617626649,0.26415371076562044
0.8506344730348959,0.8578744048153805,0.13556558816152497,0.28174603174603186,0.020265379975874742,0.20402498265093694,0.2663537694338516
0.8205851251321817,0.8956338154703082,0.1369450714823175,0.2678571428571428,0.02231604342581428,0.24496877168632902,0.26872005475701566
0.6616143813887909,0.8425298715299613,0.1399548532731376,0.2837301587301586,0.014595898673100294,0.23872310895211668,0.26605065023956187
0.6303313359182233,0.7647830383613331,0.14070729872084264,0.2837301587301586,0.0007237635705670264,0.1859819569743234,0.26330302141390427
0.6828516038068382,0.79520258736861,0.14045648357160767,0.2738095238095237,0.0,0.24982650936849415,0.2606336168964505
0.7728234050052872,0.7903782229808641,0.1408327062954603,0.24999999999999978,0.021954161640530767,0.1686328938237336,0.26778136305857037
0.7510574550581599,0.801679992812865,0.14371708051166276,0.2857142857142856,0.030036188178528267,0.17904233171408757,0.27492910922069025
0.715632710609799,0.9174377863624114,0.14522197140707294,0.2857142857142856,0.034378769601930204,0.11172796668979879,0.28185196049672423
0.7393373281635529,0.8721588356841253,0.14396789566089796,0.2996031746031744,0.039203860072376306,0.13185287994448314,0.29107265082624423
0.7361649629890729,0.937939089030635,0.14484574868322042,0.29761904761904767,0.030880579010856612,0.16516308119361556,0.30000000000000004
0.777141346492774,0.9679992812864971,0.1477301228994231,0.3392857142857142,0.024004825090470305,0.3317140874392783,0.3092206903295198
0.7408353894959463,0.9484862096846643,0.15211938801103575,0.32738095238095233,0.03498190591073591,0.30881332408049966,0.3258531338613473
0.7373105393020796,0.8859311831821038,0.15412590920491598,0.3194444444444442,0.03558504221954162,0.19569743233865378,0.34086242299794667
0.6698977793443778,0.8050938819513073,0.15663406069726604,0.36111111111111116,0.051507840772014424,0.2005551700208189,0.35749486652977414
0.6524497708847373,0.788356841254155,0.1593930273388512,0.3749999999999998,0.061640530759951684,0.1568355308813325,0.36119096509240234
0.6680472329925977,0.7430689066570838,0.1616503636819664,0.36111111111111116,0.08974668275030151,0.13532269257460106,0.3650044001173365
0.7168664081776523,0.8013386038990208,0.16215199398043645,0.3928571428571428,0.07864897466827503,0.18043025676613467,0.3687004986799647
0.7724709199859005,0.8452879345970711,0.1630298470027589,0.36111111111111116,0.08021712907117018,0.14573213046495492,0.37746162119878757
0.7227705322523792,0.8656275267271584,0.1659142212189616,0.38888888888888884,0.09119420989143556,0.11172796668979879,0.38623252175613576
0.7269122312301727,0.8572545144191898,0.16328066215199388,0.3988095238095237,0.08262967430639345,0.039555863983344985,0.39471008115771977
0.7344025378921395,0.7559608301140958,0.16114873338349622,0.4087301587301586,0.10470446320868532,0.07425399028452473,0.40362765229295006
0.7441839971801197,0.7345251998921928,0.16378229245046394,0.42261904761904745,0.11326899879372743,0.07564191533657194,0.4122616603109417
0.7054106450475854,0.6030994519809539,0.16867318786054675,0.4265873015873016,0.12533172496984313,0.27550312283136713,0.421179231446172
0.7289390200916459,0.6576318390081753,0.17494356659142207,0.4543650793650791,0.174788902291918,0.24496877168632902,0.4233401779603012
0.7173951357067324,0.808166382175905,0.1789566089791823,0.43253968253968256,0.16875753920386005,0.1582234559333796,0.4253055637039209
0.7201268946069791,0.7939448387386577,0.18359668924003003,0.44047619047619047,0.12183353437876976,0.12144344205412916,0.42746651021805016
0.725502291152626,0.7818884197286856,0.18848758465011284,0.4365079365079365,0.10723763570566947,0.10478834142956284,0.4334995599882663
0.7553753965456467,0.8240589345072321,0.18949084524705295,0.4285714285714284,0.08841978287092878,0.1276891047883415,0.4397477266060428
0.706556221360592,0.8138172670919054,0.190995736142463,0.45238095238095233,0.06682750301568174,0.14781401804302574,0.4457807763762589
0.6822347550229114,0.8826251010690863,0.19312766491096056,0.44246031746031744,0.08311218335343784,0.11103400416377518,0.45216583553339196
0.6077722946774761,0.7878627257209595,0.1945071482317533,0.47619047619047605,0.11604342581423421,0.0728660652324774,0.458550894690525
0.5286394078251674,0.7601742880244363,0.19613744670178068,0.48611111111111116,0.14957780458383607,0.03747397640527417,0.46473061503862323
