Precio_Brent_USD,Pct_var_brent,Valor_COLCAP,Pct_var_COLCAP,Indice_de_precios_al_Consumidor,Indicador de Seguimiento a la Economía (ISE),Indice_de_tasa_de_cambio_real,Tasa_de_desempleo_Total_Nacional,Tasa_de_cambio_promedio_mensual
0.6498942544941838,0.6178074568725656,0.11335010331506601,0.6005265677357587,0.0,0.027777777777777457,0.1305186972255732,0.32130464954892435,0.059498071663104835
0.6516566795911173,0.5247634947134113,0.09033330338693735,0.5907132599329823,0.006772009029345383,0.001984126984126755,0.11326899879372743,0.26231783483691884,0.04193743341162981
0.7491187874515332,0.6452977184195884,0.17718084628514963,0.917903303015797,0.012666165036368193,0.023809523809523725,0.0849215922798554,0.24427480916030542,0.02612133257736715
0.8938138879097638,0.6865887590428493,0.20757344353607032,0.7398276687410245,0.02056684223727112,0.007936507936507686,0.0658624849215923,0.2255378209576684,0.02047650793453004
0.9999999999999999,0.6274902615470229,0.14067020034138877,0.4830062230732408,0.027965889139704103,0.015873015873015817,0.021592279855247476,0.2671755725190841,0.0
0.8603278110680296,0.3963272120200335,0.14027490791483244,0.6565342269028244,0.03210433910208177,0.03769841269841234,0.07587454764776846,0.32269257460097167,0.022059052591572592
0.7728234050052872,0.4333889816360602,0.18284071511993527,0.7776448061273337,0.03373463757210926,0.03174603174603163,0.09867310012062736,0.2685634975711312,0.0411243543653933
0.6328868523087768,0.3676126878130218,0.16602281915371475,0.6124940162757301,0.03210433910208177,0.04166666666666652,0.21905910735826306,0.2421929215822347,0.1102049208416147
0.3434085301374691,0.150139120756817,0.0,0.2034466251795118,0.03511412089290189,0.03373015873015861,0.28950542822677927,0.18181818181818188,0.17971539118136337
0.2391610856538597,0.32097941012799125,0.012918875213367986,0.701292484442317,0.03749686481063452,0.0,0.2797346200241255,0.23247744621790434,0.19217325748749226
0.16954529432499119,0.35815247634947145,0.05625729943401303,0.8015797032072762,0.041384499623777216,0.015873015873015817,0.23510253317249696,0.22276197085357397,0.16836032174254356
